product_name,sale_price,original_price,discount_percentage,discount_value,image_url,total_colours,absolute_url
Conduct Pro Lightweight Running Shoes,7199,8999,-20%,1800,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/312076/07/sv01/fnd/IND/fmt/png/Conduct-Pro-Lightweight-Running-Shoes",2,https://in.puma.com/in/en/pd/conduct-pro-lightweight-running-shoes/312076?swatch=07
Club Kayzer Superior Cushioning Casual Shoes,4399,5499,-20%,1100,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/402603/07/sv01/fnd/IND/fmt/png/Club-Kayzer-Superior-Cushioning-Casual-Shoes",3,https://in.puma.com/in/en/pd/club-kayzer-superior-cushioning-casual-shoes/402603?swatch=07
Blktop Rider Vibrant Women's Sneakers,8099,8999,-10%,900,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/397321/05/sv01/fnd/IND/fmt/png/Blktop-Rider-Vibrant-Women's-Sneakers",,https://in.puma.com/in/en/pd/blktop-rider-vibrant-womens-sneakers/397321?swatch=05
Leadcat 2.0 Slides,1499,2499,-40%,1000,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/395229/01/sv01/fnd/IND/fmt/png/Leadcat-2.0-Slides",5,https://in.puma.com/in/en/pd/leadcat-2-0-slides/395229?swatch=01
SOFTRIDE Enzo Evo Running Shoes,5249,6999,-25%,1750,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/377048/01/sv01/fnd/IND/fmt/png/SOFTRIDE-Enzo-Evo-Running-Shoes",,https://in.puma.com/in/en/pd/softride-enzo-evo-running-shoes/377048?swatch=01
Blktop Rider Suede Sneakers,5849,8999,-35%,3150,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/392725/19/sv01/fnd/IND/fmt/png/Blktop-Rider-Suede-Sneakers",4,https://in.puma.com/in/en/pd/blktop-rider-suede-sneakers/392725?swatch=19
PUMA Army Trainer All-Day Comfort Sneakers,5999,7999,-25%,2000,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/402701/02/sv01/fnd/IND/fmt/png/PUMA-Army-Trainer-All-Day-Comfort-Sneakers",2,https://in.puma.com/in/en/pd/puma-army-trainer-all-day-comfort-sneakers/402701?swatch=02
BMW M Motorsport CA Pro Shoes,6749,8999,-25%,2250,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/308959/02/sv01/fnd/IND/fmt/png/BMW-M-Motorsport-CA-Pro-Shoes",2,https://in.puma.com/in/en/pd/bmw-m-motorsport-ca-pro-shoes/308959?swatch=02
Royalcat Comfort Softride Daze Women's Slides,,2999,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/397159/01/sv01/fnd/IND/fmt/png/Royalcat-Comfort-Softride-Daze-Women's-Slides",3,https://in.puma.com/in/en/pd/royalcat-comfort-softride-daze-womens-slides/397159?swatch=01
PUMA Softride Seave Platform Flip-Flops,,2799,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/391864/02/sv01/fnd/IND/fmt/png/PUMA-Softride-Seave-Platform-Flip-Flops",2,https://in.puma.com/in/en/pd/puma-softride-seave-platform-flip-flops/391864?swatch=02
Blktop Rider Suede Sneakers,8099,8999,-10%,900,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/392725/02/sv01/fnd/IND/fmt/png/Blktop-Rider-Suede-Sneakers",4,https://in.puma.com/in/en/pd/blktop-rider-suede-sneakers/392725?swatch=02
X-Cell Nova FS Running Shoes,5249,6999,-25%,1750,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/310936/02/sv01/fnd/IND/fmt/png/X-Cell-Nova-FS-Running-Shoes",2,https://in.puma.com/in/en/pd/x-cell-nova-fs-running-shoes/310936?swatch=02
Wave Flip-Flops,1159,1999,-42%,840,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/390142/06/sv01/fnd/IND/fmt/png/Wave-Flip-Flops",6,https://in.puma.com/in/en/pd/wave-flip-flops/390142?swatch=06
Leadcat 2.0 Slides,1624,2499,-35%,875,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/395229/06/sv01/fnd/IND/fmt/png/Leadcat-2.0-Slides",5,https://in.puma.com/in/en/pd/leadcat-2-0-slides/395229?swatch=06
Inverse Parallel Rio Red Casual Sneakers,11199,13999,-20%,2800,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/405820/01/sv01/fnd/IND/fmt/png/Inverse-Parallel-Rio-Red-Casual-Sneakers",,https://in.puma.com/in/en/pd/inverse-parallel-rio-red-casual-sneakers/405820?swatch=01
SOFTRIDE Seave Sandals,,2999,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/391860/01/sv01/fnd/IND/fmt/png/SOFTRIDE-Seave-Sandals",2,https://in.puma.com/in/en/pd/softride-seave-sandals/391860?swatch=01
X-Ray 2 Square Retro Style Sneakers,4239,7999,-47%,3760,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/402200/07/sv01/fnd/IND/fmt/png/X-Ray-2-Square-Retro-Style-Sneakers",5,https://in.puma.com/in/en/pd/x-ray-2-square-retro-style-sneakers/402200?swatch=07
Speedcat OG Sneakers,,9999,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/398846/02/sv01/fnd/IND/fmt/png/Speedcat-OG-Sneakers",8,https://in.puma.com/in/en/pd/speedcat-og-sneakers/398846?swatch=02
BMW M Motorsport Trinity 2 Sneakers,6749,8999,-25%,2250,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/309287/04/sv01/fnd/IND/fmt/png/BMW-M-Motorsport-Trinity-2-Sneakers",2,https://in.puma.com/in/en/pd/bmw-m-motorsport-trinity-2-sneakers/309287?swatch=04
PUMA x Sonic the Hedgehog Inverse Tails Shoes,9599,11999,-20%,2400,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/404364/01/sv01/fnd/IND/fmt/png/PUMA-x-Sonic-the-Hedgehog-Inverse-Tails-Shoes",,https://in.puma.com/in/en/pd/puma-x-sonic-the-hedgehog-inverse-tails-shoes/404364?swatch=01
Softride Enzo Evo Running Shoes,5599,6999,-20%,1400,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/312074/05/sv01/fnd/IND/fmt/png/Softride-Enzo-Evo-Running-Shoes",4,https://in.puma.com/in/en/pd/softride-enzo-evo-running-shoes/312074?swatch=05
Badminton Smash Sprint Indoor Sports Shoes,2749,4999,-45%,2250,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/109304/03/sv01/fnd/IND/fmt/png/Badminton-Smash-Sprint-Indoor-Sports-Shoes",4,https://in.puma.com/in/en/pd/badminton-smash-sprint-indoor-sports-shoes/109304?swatch=03
Palermo Classic Comfort Low Boot Sneakers,5249,6999,-25%,1750,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/402693/06/sv01/fnd/IND/fmt/png/Palermo-Classic-Comfort-Low-Boot-Sneakers",4,https://in.puma.com/in/en/pd/palermo-classic-comfort-low-boot-sneakers/402693?swatch=06
Speedcat OG Sneakers,,9999,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/398846/01/sv01/fnd/IND/fmt/png/Speedcat-OG-Sneakers",8,https://in.puma.com/in/en/pd/speedcat-og-sneakers/398846?swatch=01
Conduct Pro Lightweight Running Shoes,8099,8999,-10%,900,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/312076/06/sv01/fnd/IND/fmt/png/Conduct-Pro-Lightweight-Running-Shoes",2,https://in.puma.com/in/en/pd/conduct-pro-lightweight-running-shoes/312076?swatch=06
Palermo Sneakers,,6999,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/402692/06/sv01/fnd/IND/fmt/png/Palermo-Sneakers",8,https://in.puma.com/in/en/pd/palermo-sneakers/402692?swatch=06
Palermo Sneakers,,6999,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/402692/02/sv01/fnd/IND/fmt/png/Palermo-Sneakers",8,https://in.puma.com/in/en/pd/palermo-sneakers/402692?swatch=02
Scuderia Ferrari Drift Cat Decima 2.0 Motorsport Sneakers,5999,7999,-25%,2000,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/308395/05/sv01/fnd/IND/fmt/png/Scuderia-Ferrari-Drift-Cat-Decima-2.0-Motorsport-Sneakers",,https://in.puma.com/in/en/pd/scuderia-ferrari-drift-cat-decima-2-0-motorsport-sneakers/308395?swatch=05
Blktop Rider Suede Sneakers,8099,8999,-10%,900,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/392725/06/sv01/fnd/IND/fmt/png/Blktop-Rider-Suede-Sneakers",4,https://in.puma.com/in/en/pd/blktop-rider-suede-sneakers/392725?swatch=06
Speedcat Ballet Women's Metallic Shoes,,6999,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/401581/01/sv01/fnd/IND/fmt/png/Speedcat-Ballet-Women's-Metallic-Shoes",,https://in.puma.com/in/en/pd/speedcat-ballet-womens-metallic-shoes/401581?swatch=01
Porsche Legacy Leadcat 2.0 Slides,2624,3499,-25%,875,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/308857/03/sv01/fnd/IND/fmt/png/Porsche-Legacy-Leadcat-2.0-Slides",2,https://in.puma.com/in/en/pd/porsche-legacy-leadcat-2-0-slides/308857?swatch=03
Ascenso Sneakers,,6499,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/403307/01/sv01/fnd/IND/fmt/png/Ascenso-Sneakers",3,https://in.puma.com/in/en/pd/ascenso-sneakers/403307?swatch=01
Palermo Sneakers,,6999,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/402692/01/sv01/fnd/IND/fmt/png/Palermo-Sneakers",8,https://in.puma.com/in/en/pd/palermo-sneakers/402692?swatch=01
LaFrancé RNR Sneakers,8999,11999,-25%,3000,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/312165/01/sv01/fnd/IND/fmt/png/LaFrancé-RNR-Sneakers",,https://in.puma.com/in/en/pd/lafrance-rnr-sneakers/312165?swatch=01
MB.05 World Tour Lightweight Basketball Shoes,10499,13999,-25%,3500,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/312129/01/sv01/fnd/IND/fmt/png/MB.05-World-Tour-Lightweight-Basketball-Shoes",,https://in.puma.com/in/en/pd/mb-05-world-tour-lightweight-basketball-shoes/312129?swatch=01
PUMA x RIPNDIP Inverse Sneakers,9599,11999,-20%,2400,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/403649/01/sv01/fnd/IND/fmt/png/PUMA-x-RIPNDIP-Inverse-Sneakers",,https://in.puma.com/in/en/pd/puma-x-ripndip-inverse-sneakers/403649?swatch=01
Wave Flip-Flops,1159,1999,-42%,840,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/390142/04/sv01/fnd/IND/fmt/png/Wave-Flip-Flops",6,https://in.puma.com/in/en/pd/wave-flip-flops/390142?swatch=04
Popcat 20 Shower Slides,1724,2299,-25%,575,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/391265/02/sv01/fnd/IND/fmt/png/Popcat-20-Shower-Slides",2,https://in.puma.com/in/en/pd/popcat-20-shower-slides/391265?swatch=02
SOFTRIDE Seave Sandals,,2999,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/391860/07/sv01/fnd/IND/fmt/png/SOFTRIDE-Seave-Sandals",2,https://in.puma.com/in/en/pd/softride-seave-sandals/391860?swatch=07
Mayze Lux Women's Sneakers,4159,7999,-48%,3840,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/401261/03/sv01/fnd/IND/fmt/png/Mayze-Lux-Women's-Sneakers",,https://in.puma.com/in/en/pd/mayze-lux-womens-sneakers/401261?swatch=03
Softride Pro 24 V Slides,,3799,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/401121/03/sv01/fnd/IND/fmt/png/Softride-Pro-24-V-Slides",2,https://in.puma.com/in/en/pd/softride-pro-24-v-slides/401121?swatch=03
Royalcat Softride Thong-Strap Women's Flip Flops,,2499,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/396472/01/sv01/fnd/IND/fmt/png/Royalcat-Softride-Thong-Strap-Women's-Flip-Flops",2,https://in.puma.com/in/en/pd/royalcat-softride-thong-strap-womens-flip-flops/396472?swatch=01
X-Cell Nova CAT Women's Everyday Running Shoes,5249,6999,-25%,1750,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/310686/11/sv01/fnd/IND/fmt/png/X-Cell-Nova-CAT-Women's-Everyday-Running-Shoes",2,https://in.puma.com/in/en/pd/x-cell-nova-cat-womens-everyday-running-shoes/310686?swatch=11
Adelina Women's Ballerina Shoes,2599,3999,-35%,1400,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/395002/07/sv01/fnd/IND/fmt/png/Adelina-Women's-Ballerina-Shoes",4,https://in.puma.com/in/en/pd/adelina-womens-ballerina-shoes/395002?swatch=07
Palermo Classic Comfort Low Boot Sneakers,5249,6999,-25%,1750,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/402693/07/sv01/fnd/IND/fmt/png/Palermo-Classic-Comfort-Low-Boot-Sneakers",4,https://in.puma.com/in/en/pd/palermo-classic-comfort-low-boot-sneakers/402693?swatch=07
The Dagger Basketball Shoes,7199,8999,-20%,1800,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/311353/11/sv01/fnd/IND/fmt/png/The-Dagger-Basketball-Shoes",5,https://in.puma.com/in/en/pd/the-dagger-basketball-shoes/311353?swatch=11
Speedcat Faded Sneakers,,9999,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/403688/03/sv01/fnd/IND/fmt/png/Speedcat-Faded-Sneakers",3,https://in.puma.com/in/en/pd/speedcat-faded-sneakers/403688?swatch=03
Speedcat Lux Suede Sneakers,,9999,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/408198/01/sv01/fnd/IND/fmt/png/Speedcat-Lux-Suede-Sneakers",2,https://in.puma.com/in/en/pd/speedcat-lux-suede-sneakers/408198?swatch=01
PUMA x REPRESENT KING Indoor Sneakers,9599,11999,-20%,2400,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/403454/01/sv01/fnd/IND/fmt/png/PUMA-x-REPRESENT-KING-Indoor-Sneakers",,https://in.puma.com/in/en/pd/puma-x-represent-king-indoor-sneakers/403454?swatch=01
Softride Premier GlideKnit Walking Shoes,4399,5499,-20%,1100,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/312706/04/sv01/fnd/IND/fmt/png/Softride-Premier-GlideKnit-Walking-Shoes",3,https://in.puma.com/in/en/pd/softride-premier-glideknit-walking-shoes/312706?swatch=04
Conduct Pro Women’s Running Shoes,7649,8499,-10%,850,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/312087/05/sv01/fnd/IND/fmt/png/Conduct-Pro-Women’s-Running-Shoes",2,https://in.puma.com/in/en/pd/conduct-pro-womens-running-shoes/312087?swatch=05
Galaxy Comfort V4 Flip-Flops,,2299,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/388831/04/sv01/fnd/IND/fmt/png/Galaxy-Comfort-V4-Flip-Flops",2,https://in.puma.com/in/en/pd/galaxy-comfort-v4-flip-flops/388831?swatch=04
